Tiempo_ms	Voltaje_V
865	1.96389
866	1.98483
866	1.92038
867	2.01464
867	1.71569
868	1.82445
869	1.69393
870	1.96791
870	1.75517
871	1.79867
872	2.21450
872	2.36521
873	2.22095
874	2.37166
875	2.43450
875	2.34910
876	2.49095
930	2.21289
931	1.91071
931	1.95341
932	1.94938
932	1.74228
933	1.96711
934	1.91957
935	1.84218
936	2.29673
936	1.73744
936	2.16213
937	2.12829
937	1.90024
937	1.78014
938	2.02834
939	2.16938
939	2.63839
940	2.45545
940	2.21531
940	2.36602
941	2.18550
942	2.47479
942	2.55540
942	2.55621
943	2.42081
944	2.59649
945	2.11621
945	2.12265
946	2.14038
946	2.36360
946	2.25156
947	2.37810
947	2.18953
948	1.71005
948	2.31768
948	2.05332
949	1.95180
949	1.86157
950	1.91555
951	1.88896
952	1.94777
952	2.09123
952	1.85346
953	2.38616
954	2.40066
955	2.16294
955	2.08721
956	2.37488
956	2.08398
957	2.11863
957	2.30237
958	2.68839
958	2.51190
959	2.14924
959	2.54332
959	2.22336
960	2.46431
961	2.13071
961	2.67948
962	2.67948
962	2.19678
963	1.94858
964	2.23142
964	2.15569
965	1.98483
965	2.11379
966	1.77450
968	2.00981
968	1.76564
969	2.10574
969	2.07029
970	1.95664
970	1.96147
971	1.83493
973	2.62711
974	2.17825
974	2.53929
975	2.53768
975	2.23706
976	2.49095
976	2.42645
976	2.76493
977	2.52318
977	2.52398
978	2.54090
978	2.42242
979	1.93408
979	1.99611
980	2.29673
980	2.25559
987	1.86157
987	1.88412
988	2.47479
988	1.82607
989	1.97758
989	2.28626
990	2.00336
990	2.35877
991	2.53204
991	2.34346
1086	2.03881
1087	1.84379
1087	2.10896
1088	2.24270
1088	1.93488
1088	1.93247
1089	2.17905
1089	2.08559
1089	2.15408
1090	2.13474
1090	2.60133
1091	2.26445
1091	2.64242
1091	2.26043
1092	2.28948
1092	2.15327
1092	2.20322
1093	2.52559
1093	2.37972
1093	2.39825
1094	2.45545
1094	2.64645
1095	2.34346
1095	2.86242
1095	2.40469
1096	2.02028
1096	2.09526
1097	2.30640
1097	2.19033
1097	2.30882
1098	1.90427
1098	1.72294
1099	2.03640
1099	1.99209
1099	1.98967
1100	1.99611
1100	1.82445
1101	2.13232
1101	1.69877
1101	2.01545
1102	1.88976
1102	1.94133
1103	1.98645
1103	1.79464
1103	2.22175
1104	2.25317
1104	2.00981
1105	2.20725
1105	1.98564
1105	1.94616
1106	1.86479
1106	2.44739
1107	2.50867
1107	2.29834
1108	2.53204
1108	2.40550
1108	2.38777
1109	2.46753
1109	2.27981
1110	2.57071
1110	2.48209
1111	2.49578
1111	1.90668
1112	1.92119
1112	2.28304
1113	2.44578
1113	2.38536
1113	2.04526
1114	1.97275
1114	1.74066
1115	1.88493
1115	1.75355
1116	1.76081
1116	1.93327
1117	1.91716
1117	1.94294
1118	1.88896
1118	1.89379
1119	2.07270
1119	1.79142
1120	1.97597
1120	1.93085
1121	1.81156
1121	2.09526
1122	1.99772
1122	2.09365
1123	2.14844
1123	2.39261
1124	2.47564
1124	2.40953
1125	2.42483
1125	2.25559
1126	2.39019
1126	2.27578
1127	2.46753
1127	2.64000
1128	2.35393
1128	2.64000
1129	2.34749
1129	1.86318
1177	2.78104
1178	2.24673
1178	2.14683
1179	2.50706
1179	1.86721
1179	2.02995
1180	2.20645
1180	2.24915
1181	2.15327
1181	1.93569
1181	2.25640
1182	2.32251
1182	1.91071
1182	1.96791
1183	1.96389
1183	1.93327
1183	1.92119
1184	1.98081
1184	2.05251
1185	2.12265
1185	1.79787
1185	2.08559
1186	1.99772
1186	1.72858
1187	1.97839
1187	2.23787
1187	1.87204
1188	2.31204
1188	2.43853
1189	2.38052
1189	2.36683
1189	2.31526
1190	2.33379
1190	2.42967
1191	2.43128
1191	2.29109
1191	2.38616
1192	2.28223
1192	2.43611
1193	2.43692
1193	2.26043
1193	2.46351
1194	2.76735
1194	2.53687
1195	2.05251
1195	2.49820
1196	2.29109
1196	2.29995
1196	2.02592
1197	2.47398
1197	2.06626
1198	1.87687
1198	2.06465
1199	2.00981
1199	1.72616
1199	2.06787
1200	1.91313
1200	1.75597
1201	1.75355
1201	2.02834
1202	1.89138
1202	1.81559
1203	1.84862
1203	2.02673
1204	1.77934
1204	1.99772
1205	2.11782
1205	1.65526
1205	2.24995
1206	2.16374
1206	2.43209
1207	2.19355
1208	2.25640
1208	2.47237
1208	2.47564
1209	2.23062
1209	2.43772
1210	2.71095
1211	2.34668
1211	2.11782
1212	1.99772
1212	2.34991
1213	2.34588
1213	2.22578
1213	1.99853
1214	2.25559
1214	1.98806
1215	1.88976
1215	1.65929
1216	2.02351
1216	2.00578
1217	1.73341
1218	1.79142
1218	1.95986
1219	1.81962
1219	1.85185
1220	1.94455
1220	1.69877
1221	2.16938
1221	2.02673
1275	2.18550
1275	2.38697
1275	2.42886
1276	2.42242
1276	2.45062
1276	2.21047
1277	2.27176
1277	2.60133
1278	2.26934
1278	2.19114
1278	2.16052
1279	2.35393
1279	2.26848
1279	2.11218
1280	2.12427
1280	2.13555
1280	1.72777
1281	2.32332
1281	1.76564
1281	1.93085
1282	2.29109
1282	2.10896
1283	2.03076
1283	2.08237
1283	1.76886
1284	1.89057
1284	2.09446
1285	2.17664
1285	2.00095
1285	1.79464
1286	2.29109
1286	2.12749
1286	2.15891
1287	1.83896
1287	1.71730
1288	1.82284
1289	2.14199
1289	2.40630
1290	2.22014
1290	2.34507
1291	2.13877
1291	2.29431
1291	2.59085
1292	2.21772
1292	2.48209
1293	2.42403
1293	2.36441
1294	2.15327
1294	2.57555
1295	2.25559
1295	2.29351
1295	2.49578
1296	1.99289
1296	1.82445
1297	2.26204
1297	2.07190
1298	1.94938
1298	2.19919
1298	1.83573
1299	1.92038
1300	1.81720
1300	1.91474
1301	2.33379
1301	2.05734
1302	1.96308
1302	1.97678
1303	2.18550
1303	2.23948
1303	2.04445
1304	2.13716
1304	2.21611
1305	2.48128
1305	2.34829
1306	2.36521
1306	2.46673
1307	2.40630
1308	2.58521
1308	2.23303
1309	2.68759
1310	2.44498
1311	2.30559
1311	2.39664
1311	2.49014
1312	2.44900
1312	2.12829
1313	1.95341
1313	2.22014
1314	2.00095
1314	1.77692
1315	1.71649
1316	1.90266
1317	2.20483
1317	2.12185
1318	1.92360
1318	1.96872
1319	1.97919
1319	2.23303
1320	1.86479
1320	2.07673
1320	1.91877
1414	2.15569
1415	1.76242
1416	1.73825
1416	1.73261
1416	1.98886
1417	1.84379
1417	2.05090
1417	1.88493
1418	1.75114
1419	2.02028
1419	1.71247
1420	2.14683
1420	1.87204
1421	1.77128
1421	1.85588
1421	2.15408
1422	2.26848
1422	1.99611
1422	2.07754
1423	2.08157
1423	2.67626
1424	2.34910
1424	2.20886
1424	2.33943
1425	2.56265
1426	2.35474
1426	2.19275
1426	2.50465
1427	2.36441
1428	2.33540
1428	2.46270
1429	2.69000
1429	2.19517
1430	2.04043
1430	1.83976
1431	2.12346
1431	2.02673
1432	2.29915
1432	1.85024
1433	1.97194
1433	1.82848
1433	1.86801
1434	1.89057
1435	1.69716
1436	2.10574
1436	2.01223
1436	2.23706
1437	1.94455
1437	1.87687
1438	2.11460
1438	2.03640
1439	2.33782
1439	2.38294
1440	2.05815
1440	2.43450
1440	2.42403
1441	2.29109
1441	2.42886
1442	2.45706
1443	2.39664
1443	2.45062
1444	2.99138
1444	2.53929
1445	2.11460
1445	2.45626
1445	2.17261
1446	2.47237
1446	2.36280
1447	2.24190
1447	2.05009
1448	2.19678
1448	2.20161
1449	2.14683
1449	2.09848
1450	2.11782
1450	1.86318
1450	1.90185
1451	1.84621
1452	1.68588
1453	2.24351
1453	1.95019
1454	2.00256
1455	1.72777
1455	2.18228
1456	1.85265
1456	2.11863
1457	2.62630
1458	2.25962
1458	2.51029
1459	2.09446
1460	2.47564
1460	2.36038
1461	2.32412
1461	2.49578
1462	2.46270
1463	2.08721
1463	2.17180
1464	2.02270
1464	1.98564
1465	1.96630
1511	2.45464
1511	2.46673
1512	2.00578
1513	2.03156
1513	2.29754
1513	2.08398
1514	2.54493
1514	1.85507
1515	2.18308
1516	1.80190
1516	1.95583
1516	1.75758
1517	2.11621
1518	2.04929
1518	1.80512
1519	1.85426
1519	1.77209
1520	1.72294
1521	2.11460
1521	2.20725
1521	1.97597
1522	1.97114
1522	2.05412
1523	2.06057
1523	2.31123
1523	2.32412
1524	2.36280
1524	2.57555
1525	2.39502
1525	2.58038
1526	2.37569
1526	2.48209
1527	2.36119
1527	2.64081
1528	2.34749
1528	2.67142
1529	2.35877
1530	2.24028
1530	2.33299
1530	2.09284
1531	2.24512
1531	2.18872
1532	1.72133
1532	1.89782
1533	1.78256
1534	1.73422
1534	1.81640
1535	1.98322
1536	2.10493
1536	1.99128
1537	2.20403
1537	1.75114
1538	2.01626
1539	1.88251
1539	2.07270
1540	2.19839
1540	2.35877
1541	2.36360
1541	2.17100
1542	2.40469
1542	2.37649
1542	2.29834
1543	2.63275
1544	2.49740
1545	2.25881
1545	2.11540
1546	2.31607
1546	2.32574
1547	2.22256
1547	2.22900
1548	2.28545
1548	1.67621
1549	1.87446
1549	1.90346
1550	1.71649
1551	1.72133
1552	1.79223
1553	1.91877
1553	1.94455
1554	1.93891
1555	2.28626
1555	2.36199
1556	2.29029
1556	2.21611
1557	2.29109
1557	2.38374
1558	2.61422
1559	2.21450
1559	2.16052
1560	2.34588
1560	2.29270
1566	2.00175
1567	1.87929
1568	1.74066
