Tiempo_ms	Voltaje_V
1735	2.53204
1736	2.58844
1736	2.41194
1737	2.67384
1737	2.53365
1738	2.72303
1738	2.55702
1739	2.31446
1739	3.10825
1740	2.67787
1741	2.80199
1741	3.17190
1742	3.14209
1743	2.97848
1743	3.02280
1744	3.11631
1744	3.19848
1744	3.17029
1745	2.96318
1745	2.75768
1746	2.70934
1746	3.08725
1747	2.64564
1747	2.94867
1748	2.75687
1748	2.93176
1749	2.66739
1749	2.58441
1750	2.50465
1750	2.44578
1751	2.60455
1752	2.43289
1752	2.54976
1752	2.38374
1753	2.56588
1753	2.89067
1754	2.70853
1754	2.89147
1755	2.91564
1755	2.52559
1756	2.72465
1757	2.81005
1757	3.04052
1757	3.16142
1759	3.13564
1760	2.93014
1766	2.73754
1767	2.55782
1767	2.54574
1768	2.67787
1768	2.37488
1769	2.43853
1770	2.69564
1771	2.33782
1771	2.69564
1772	2.97446
1772	2.57555
1773	3.07678
1774	3.01796
1774	2.83180
1775	2.89711
1776	2.92612
1776	3.11550
1777	2.99218
1829	3.00588
1829	3.04133
1830	2.87772
1830	2.58924
1831	3.02038
1831	2.52962
1832	2.66417
1832	2.78266
1832	2.36119
1833	2.45706
1833	2.70934
1833	2.49176
1834	2.66095
1834	2.45464
1835	2.57555
1836	2.41597
1837	2.71417
1837	2.62066
1838	2.60455
1838	2.73029
1838	2.61744
1839	3.00185
1839	2.90195
1840	2.86000
1840	3.04052
1840	2.77379
1841	2.86242
1841	3.16384
1842	2.79877
1843	3.01152
1843	3.08161
1844	2.70612
1844	3.00427
1845	3.06953
1845	3.03166
1846	2.79474
1846	3.05986
1846	2.87853
1847	2.99460
1847	2.96962
1847	2.48289
1849	2.74479
1849	2.95431
1850	2.32896
1851	2.61744
1851	2.40308
1852	2.49901
1853	2.69081
1853	2.55702
1854	2.36683
1854	2.36763
1855	2.63114
1855	2.59327
1856	2.65531
1856	2.46431
1857	3.30000
1857	2.76976
1857	2.99057
1858	3.03246
1858	3.08242
1859	3.09697
1860	3.30000
1861	2.91484
1861	2.96318
1861	2.96559
1862	2.72303
1862	2.87450
1863	2.81166
1863	2.54251
1864	2.78910
1864	2.93256
1865	3.04052
1865	2.91484
1865	2.52237
1866	2.40389
1866	2.67706
1867	2.56427
1868	2.64081
1868	2.46270
