"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.491152875E0	-2.762497118E-1	-4.301077348E-1	-8.407068193E-1	9.839179452E-1
1.501084875E0	-3.524147937E-1	-5.516345108E-1	-1.304238993E-1	6.674632677E-1
1.511017875E0	-3.155526306E-1	-6.952257550E-1	3.471743363E-1	8.387146910E-1
1.520950875E0	-1.737032354E-1	-7.627494013E-1	9.207432148E-1	1.208191844E0
1.530883875E0	-9.591653785E-2	-6.198943216E-1	1.401947721E0	1.535879671E0
1.540816875E0	3.370595029E-2	-4.563757664E-1	1.701599981E0	1.762060563E0
1.550749875E0	2.251880971E-1	-2.856703985E-1	1.942901123E0	1.976659310E0
1.560682875E0	3.747187420E-1	-2.213831860E-1	2.229359726E0	2.271446552E0
1.570615875E0	4.481154048E-1	-3.425351554E-1	2.261866152E0	2.331131965E0
1.580548875E0	2.411224907E-1	-6.614165694E-1	2.322276075E0	2.426639261E0
1.590481875E0	-3.583405448E-1	-1.099606326E0	2.365711825E0	2.633274474E0
1.600414875E0	-5.857566686E-1	-1.516894625E0	2.575579212E0	3.045929818E0
1.610347875E0	-8.783035389E-1	-1.731374588E0	2.957462035E0	3.537747413E0
1.620279875E0	-1.075103568E0	-1.639249951E0	3.242982745E0	3.789449191E0
1.630212875E0	-1.055613775E0	-1.565742849E0	3.466636113E0	3.947586231E0
1.640145875E0	-1.117425423E0	-1.533453355E0	3.576533361E0	4.048667639E0
1.650078875E0	-1.007764840E0	-1.597952237E0	3.427022104E0	3.913249522E0
1.660011875E0	-9.215602901E-1	-1.618363112E0	3.069236533E0	3.590067607E0
1.669944875E0	-9.380454914E-1	-1.514565094E0	2.869687142E0	3.377712401E0
1.679877875E0	-9.251616633E-1	-1.312777682E0	2.669974030E0	3.115777698E0
1.689810875E0	-7.501259205E-1	-1.006673019E0	2.388062222E0	2.697947486E0
1.699743875E0	-7.553178826E-1	-6.596974880E-1	2.510869538E0	2.703732922E0
1.709676875E0	-2.856998904E-1	-5.322544992E-1	2.909993169E0	2.972032894E0
1.719609875E0	-8.912655003E-2	-2.899838895E-1	3.111321867E0	3.126077088E0
1.729541875E0	-1.088868133E-1	-1.428907478E-1	2.950832755E0	2.956296340E0
1.739474875E0	3.058637212E-1	-5.220861912E-2	2.571433243E0	2.590086346E0
1.749407875E0	8.356263198E-1	-4.292616427E-1	2.640661061E0	2.802789279E0
1.759340875E0	1.140305797E0	-7.546767354E-1	4.056842074E0	4.281098212E0
1.769273875E0	1.310827928E0	-1.226875652E0	5.941094454E0	6.206456077E0
1.779206875E0	1.624361478E0	-2.008770592E0	6.711099665E0	7.191145126E0
1.789139875E0	1.668757048E0	-2.665552658E0	6.071127174E0	6.837287929E0
1.799072875E0	1.303232687E0	-3.207318823E0	4.438631342E0	5.629099187E0
1.809005875E0	9.087176849E-1	-3.552164798E0	2.990404664E0	4.731401762E0
1.818938875E0	7.708811241E-1	-3.661089070E0	2.293189101E0	4.388228246E0
1.828871875E0	8.537101498E-1	-3.750037499E0	2.386094341E0	4.526041148E0
1.838804875E0	9.378923674E-1	-3.701105075E0	2.560600399E0	4.597226911E0
1.848736875E0	1.164094098E0	-3.798153652E0	2.952201295E0	4.949401855E0
1.858669875E0	1.073736782E0	-4.083576713E0	2.976414031E0	5.165999413E0
1.868602875E0	8.280332717E-1	-4.346016709E0	2.559712792E0	5.111323694E0
1.878535875E0	3.246160707E-1	-4.693494223E0	1.758264179E0	5.022524917E0
1.888468875E0	-3.550125289E-1	-4.999926038E0	3.392250466E-1	5.023979290E0
1.898401875E0	-8.021096411E-1	-5.029260349E0	-8.202877575E-1	5.158460191E0
1.908334875E0	-6.911180860E-1	-5.026274176E0	-1.524555062E0	5.297673493E0
1.918267875E0	-3.035804200E-1	-4.827477615E0	-1.342088605E0	5.019751290E0
1.928200875E0	-1.014091381E-1	-4.480664052E0	-1.271968210E0	4.658812862E0
1.938133875E0	3.840746525E-1	-4.414539059E0	-1.353829814E0	4.633413818E0
1.948066375E0	6.668085793E-1	-4.223329260E0	-1.753117459E0	4.621099929E0
1.957999375E0	3.108783299E-1	-3.917283069E0	-2.286778799E0	4.546549159E0
1.967931375E0	-3.244924021E-1	-3.736163226E0	-2.643636124E0	4.588357323E0
1.977864375E0	-5.518540737E-1	-3.860107241E0	-2.367345829E0	4.561720849E0
1.987797375E0	-5.783212030E-1	-4.143542249E0	-2.229997072E0	4.740916021E0
1.997730375E0	-2.247479662E-1	-4.327039863E0	-2.186064602E0	4.853108701E0
2.007663375E0	-1.855830234E-1	-3.974891592E0	-2.190623091E0	4.542359933E0
2.017596375E0	-1.895679009E-1	-3.405658424E0	-2.272224494E0	4.098469159E0
2.027529375E0	-9.922081769E-2	-2.915349804E0	-2.438966035E0	3.802323575E0
2.037462375E0	-8.072548985E-2	-2.482651168E0	-2.840655717E0	3.773512730E0
2.047395375E0	-2.732988596E-3	-2.060458516E0	-2.809533911E0	3.484103553E0
2.057328375E0	6.164894879E-2	-1.852786466E0	-2.233655675E0	2.902729053E0
