"Time (s)"	"Sound pressure level (dB)"
2.728458083E1	8.613272298E1
2.738809204E1	8.728330079E1
2.749045938E1	8.448011854E1
2.759698450E1	8.877723841E1
2.770136583E1	8.491888006E1
2.780529462E1	8.274521624E1
2.790971996E1	7.812927161E1
2.801616263E1	8.035509152E1
2.812192446E1	8.685812128E1
2.822848100E1	8.430971005E1
2.833500971E1	8.740786370E1
2.843852883E1	8.432244944E1
2.854162250E1	8.263368631E1
2.864813975E1	8.528606711E1
2.874988417E1	8.497759148E1
2.885167892E1	8.832531543E1
2.895571183E1	8.434227030E1
2.906217400E1	8.334024034E1
2.916843437E1	8.057685711E1
2.927396658E1	7.770069098E1
2.938049092E1	7.113349935E1
2.948647817E1	7.405981436E1
2.958902788E1	8.691516793E1
2.969551229E1	8.395526169E1
2.980202825E1	8.988273686E1
2.990559329E1	8.385916263E1
3.000969371E1	8.739206519E1
3.011639800E1	8.177010828E1
3.022212829E1	8.490813229E1
3.032860579E1	8.257499030E1
3.043352500E1	9.192409829E1
3.053906467E1	9.021952544E1
3.064556350E1	8.759933813E1
3.075024229E1	8.375869772E1
3.085228108E1	8.900579500E1
3.095659488E1	8.248251611E1
3.106307529E1	8.837363057E1
3.116903592E1	8.430543298E1
3.127334517E1	8.950302723E1
3.137984988E1	8.296049159E1
3.148585763E1	8.724088299E1
3.158994588E1	7.860348193E1
3.169646313E1	7.216139241E1
3.180271387E1	6.210358256E1
3.190663267E1	8.333189806E1
3.200968967E1	8.182097483E1
3.211631775E1	8.796277672E1
3.222212058E1	8.089537448E1
3.232865121E1	8.653587292E1
3.243437154E1	7.963766149E1
3.253997829E1	6.630484395E1
3.264655350E1	6.170106733E1
3.275305521E1	6.086893047E1
3.285957037E1	5.903412746E1
3.296478254E1	5.905212725E1
3.306981579E1	5.925869153E1
3.317397375E1	5.901793071E1
3.328052196E1	6.031081540E1
3.338647142E1	5.880052289E1
3.349295467E1	5.779803000E1
3.359872654E1	5.677824812E1
3.370331275E1	6.078176412E1
3.380550800E1	6.253296248E1
3.390972008E1	5.993375120E1
3.401537725E1	5.977494824E1
3.412017517E1	5.661887972E1
3.422210033E1	5.811456220E1
3.432716546E1	5.532693560E1
3.443205696E1	5.789095743E1
3.453712400E1	5.524681353E1
3.464361721E1	5.622680066E1
3.474992296E1	5.739128653E1
3.485372783E1	5.725533736E1
3.495712271E1	5.761620366E1
3.506094200E1	6.018017678E1
3.516579387E1	6.207825395E1
3.527059883E1	6.302562288E1
3.537395992E1	5.979453466E1
3.547922808E1	5.676638723E1
3.558541292E1	5.759728965E1
3.569190783E1	5.510301713E1
3.579863329E1	5.616319250E1
3.590410063E1	5.902859965E1
3.600967446E1	5.769087643E1
3.611582975E1	5.940100755E1
3.622217508E1	6.107551332E1
3.632792483E1	6.189454051E1
3.643247875E1	6.185085073E1
3.653762796E1	6.194019534E1
3.664413154E1	6.250629909E1
3.674988633E1	6.373209648E1
3.685262746E1	6.565654570E1
3.695436321E1	6.109514640E1
3.706085442E1	7.311175355E1
3.716584388E1	6.464414946E1
3.727120304E1	6.480668751E1
3.737388946E1	6.127904049E1
3.747915088E1	6.018646303E1
3.758254442E1	6.563957689E1
3.768793842E1	7.558422781E1
3.779150129E1	5.957277107E1
3.789799667E1	6.029277839E1
3.800273463E1	6.146646208E1
3.810822208E1	6.003031781E1
3.821482417E1	7.167355000E1
3.831953104E1	6.133620854E1
3.842485300E1	6.169329426E1
3.852733212E1	5.948076587E1
3.863393179E1	6.642665458E1
3.873831500E1	6.518286109E1
3.884145887E1	6.261534862E1
3.894724121E1	6.305626370E1
3.905309792E1	6.955202257E1
3.915817471E1	8.000789907E1
3.926471133E1	6.738253392E1
3.936979429E1	6.684982893E1
3.947398883E1	6.523335665E1
3.957719546E1	5.950747462E1
3.968369137E1	7.727166149E1
3.978856354E1	7.677720999E1
3.989259683E1	6.498952047E1
3.999909504E1	6.835971094E1
4.010550992E1	6.726442685E1
4.020935550E1	7.346718690E1
4.031590537E1	6.903527722E1
4.042215279E1	7.426168686E1
4.052864904E1	6.958980504E1
4.063401325E1	7.005994349E1
4.073894075E1	7.032761959E1
4.084226779E1	6.720207593E1
4.094873608E1	6.498678594E1
4.105368358E1	7.114207395E1
4.115894829E1	7.216398775E1
4.126544471E1	7.033537806E1
4.137035429E1	6.610605112E1
4.147600975E1	6.231213085E1
4.158250350E1	6.394953401E1
4.168710233E1	6.733878727E1
4.179322437E1	6.271572465E1
4.189618787E1	5.796738582E1
4.200269117E1	6.167401761E1
4.210551600E1	7.171740011E1
4.220970867E1	6.821295881E1
4.231627821E1	6.672804738E1
4.242209471E1	6.225814355E1
4.252592008E1	5.942550918E1
4.263243079E1	6.257981938E1
4.273746954E1	6.169125313E1
4.284325954E1	6.924565830E1
4.294990542E1	6.341009683E1
4.305433196E1	6.385901709E1
4.315995383E1	6.747442434E1
4.326386129E1	6.270543513E1
4.337036979E1	6.293404802E1
4.347659988E1	6.615283769E1
